visitorid,cluster,umap_x,umap_y
557192,5,5081.58,-3276.4114
851350,5,6201.7676,8872.713
177297,0,2.38982,-157.03177
495995,5,2787.5803,-1350.4584
325119,5,-4041.2478,6088.0415
47419,3,-7.628731,-15.090546
281152,5,-29.993988,-42.953964
1331174,5,-2845.1697,7328.0884
486918,0,-18.69653,-9.256866
19060,5,4627.4395,8362.088
782296,0,-95.07864,-243.37543
595537,5,661.6116,-2382.9429
1189592,5,-15.544865,13.119551
381876,5,-1996.0134,-784.9272
1333608,1,-9.181603,-13.782331
268148,5,6.9398527,-2.755361
411897,5,-48.353256,-29.29805
721204,5,8.986388,-15.364811
297606,5,-11.466583,3.7444344
985548,0,-7.3206673,-4.3567123
1356083,0,-5.4788246,-13.657383
814957,5,5.2834244,0.9790981
1059663,5,16.424088,-5.692957
844989,5,-8.638252,7.635289
845694,5,-18.841354,3.4476414
489086,5,-5.8573513,12.197769
41591,5,-29.900124,-42.969925
841351,0,-19.008896,-8.913128
672777,5,3.6271162,11.33847
1116839,5,0.47078323,7.728937
1267041,5,-13.810264,6.963173
263688,0,149.31143,-255.1409
1295196,0,-81.17255,-254.56287
320106,5,3.830205,-3.6459422
462163,1,-7.4930496,-5.6093884
844105,0,27.749115,-152.95358
558625,5,19.37703,-6.2865515
249455,5,-29.868912,-43.063614
414307,4,-11.16282,-8.172823
955816,5,-0.87272453,4.1350975
931273,5,2.5959706,13.447632
577466,5,-21.263393,11.338429
402354,3,-7.0924873,-12.203249
144839,5,4.2520056,-8.927137
1340509,5,-22.372755,9.135328
660512,5,0.3146248,2.1508822
436588,5,-17.96648,-2.7084684
1057070,5,4.2520733,2.6349535
60765,5,21.048975,6.994542
1125624,5,-10.013212,1.7288837
1310705,5,9.73664,-1.0835562
1007226,5,-10.653973,7.0571804
365531,5,4.7364063,16.213253
1297304,5,-30.13462,-42.797943
287829,5,20.486576,2.0414395
555613,5,-5687.9507,652.88525
1099964,5,-48.10327,-29.626038
166363,5,936.09595,3491.0103
140703,5,5146.83,-1440.7552
1318945,5,980.2678,-1024.3646
39261,5,6297.033,-453.4897
731757,5,-2340.4978,1413.3696
808392,5,1.7367287,-5.5521774
1391770,5,-189.57593,-180.38031
773486,5,13.6428585,11.744532
157516,5,-3.8102493,-6.396042
645644,5,-22.232075,7.916603
700194,0,-80.96936,-254.39087
130314,3,-11.585261,12.517212
1370580,5,-16.57597,1.6977382
1241392,0,-5.3988495,-4.4193153
1336864,5,-12.37275,14.556921
358598,1,3.3838987,-15.484261
1018015,5,4.486535,-5.3647804
133901,0,-7.406994,-169.84412
660565,5,7.9552727,-5.864811
297018,5,-27.435286,-0.5835562
114837,5,-4.7790337,14.338395
1217546,0,24.577309,-194.21918
1006452,1,-8.055927,-8.487915
194079,5,6.127249,10.4321995
1253897,5,-2.2948103,21.072691
688209,5,-14.685242,-7.083431
625639,3,-12.367588,-5.6087284
673686,0,24.921036,-194.5004
1153610,0,2.124176,-157.32858
383874,5,-48.462746,-29.360382
1151636,5,-16.076046,1.9320669
1406008,5,-17.466467,-0.17723656
155875,5,-8.482055,16.588272
1000597,5,-18.93517,10.822707
1387274,5,5.6271076,23.291517
927576,5,-1.4980323,9.416605
605252,0,-14.83213,-3.6395988
88168,5,14.877119,11.728943
938464,5,1.2053688,15.432217
618991,5,-6.669615,-2.8023
457198,5,-25.388538,-6.0992036
913489,0,24.733536,-194.48474
1345716,5,8.26789,5.9164324
273662,5,-4.388479,-6.1928034
1141302,5,-13.232096,1.5726395
473395,0,-14.641235,-122.12543
1335543,0,-5.546009,-21.16721
1026678,5,2.7521734,18.479126
893451,5,-2.5601492,5.4007616
996813,5,-8.138297,5.432085
1349199,0,24.639793,-194.20352
1405728,0,-5.6177444,-4.1848564
336267,5,-2.8260632,-16.80231
402936,5,-11.810268,4.4634323
532936,5,16.111538,12.49474
1177612,5,-8.59148,12.588404
1315073,5,-6.07605,18.963467
1166636,5,-17.247915,9.27581
142056,5,-16.232082,12.150845
374808,5,9.611551,-16.599113
324830,0,-18.483444,-17.57079
142498,5,-9.404026,4.8694096
158,0,73.842865,-282.6253
870243,4,-10.032312,-8.261814
1202589,5,5.0959344,-8.130392
319271,5,-15.950855,-16.693014
947148,5,-7.841442,17.260355
336465,5,-6.1851997,7.447584
986204,5,-2.3259125,-0.13036633
448016,0,-6.102047,-3.7317657
203596,5,-6.9039764,18.119553
255293,5,-5.4980383,-4.3805227
75310,5,4.502158,4.54145
1083527,5,-24.247534,2.0726967
710866,5,-24.435163,-11.208486
135400,5,-19.732414,17.072763
1052494,5,-24.138462,13.150881
1359057,3,-7.7692413,-15.168701
1125662,5,-0.46666718,-2.8646812
1282794,5,-7.216384,-0.20856714
1158394,5,14.017808,-3.3960204
1004699,5,9.908464,9.807125
1310660,5,-4.1697016,-6.3803377
660718,5,7.8147926,-5.708519
515113,5,-17.10735,5.5259275
1097711,5,1.0335083,14.447517
602622,5,-12.591615,-1.7867894
1360399,5,4.3301783,-17.66153
21607,5,-22.31039,-4.5835657
545526,0,-0.29794598,-21.703655
671498,5,0.4708786,7.7131786
387847,5,-22.513361,10.729012
234226,5,11.736521,13.338251
744357,5,-21.63832,12.010103
848967,5,-3.5914364,-7.3335333
847128,0,-18.01645,-24.297398
733559,5,7.4083185,14.963146
207821,5,-16.23224,-13.61443
425306,5,8.111522,-19.224106
178779,5,-17.38834,-1.2240467
243058,5,-15.466686,-0.41152763
1235781,5,-1.8884926,22.369587
1352398,5,-1.9823484,18.807133
71812,5,-2.3884096,-17.614582
1314470,5,-15.685265,13.77585
958077,5,11.845926,-12.802261
1071154,5,-48.46257,-29.2043
572093,0,-19.201708,-0.16189003
805202,5,8.299109,8.057091
754530,5,1.2054024,-4.5992317
1299880,5,-0.84161687,-1.9115696
578864,5,9.955213,-0.89599514
280878,5,8.861418,14.10391
315347,5,-23.34164,1.9165292
1176387,5,7.97085,22.432034
1004361,5,-21.263504,-13.08361
1051771,5,-14.263324,-19.302315
1083419,5,-3.4821424,14.869556
669241,5,-16.37288,-0.34929085
2587,5,-3.3259792,-14.661705
