visitorid,rank,itemid,score
521402,1,37254,0.00001748673639667686
521402,2,400946,0.00001459745726606343
521402,3,291877,0.000013295571989146993
521402,4,17478,0.000012040074579999782
521402,5,33692,0.000011434294719947502
521402,6,161623,9.781045264389832e-6
521402,7,82229,9.744612725626212e-6
521402,8,234255,9.616823263058905e-6
521402,9,358348,9.187327123072464e-6
521402,10,384302,9.183731890516356e-6
710829,1,188698,0.000048496633098693565
710829,2,222888,0.00004787521902471781
710829,3,369447,0.00004550216908683069
710829,4,442431,0.000042574291001074016
710829,5,457231,0.00004102401726413518
710829,6,398579,0.000039444388676201925
710829,7,330506,0.00003695977648021653
710829,8,350629,0.00003615298919612542
710829,9,208000,0.00003483034379314631
710829,10,33912,0.000032675761758582667
627994,1,96924,0.001105504110455513
627994,2,405770,0.0007359406445175409
627994,3,420960,0.0007018808973953128
627994,4,122604,0.0006797350361011922
627994,5,398579,0.0006624484085477889
627994,6,436694,0.0006497568683698773
627994,7,257040,0.0006379326805472374
627994,8,330506,0.0006235692417249084
627994,9,178274,0.0005978253902867436
627994,10,369158,0.0005570614594034851
126747,1,335975,0.06214570999145508
126747,2,370653,0.047165997326374054
126747,3,91755,0.0303514301776886
126747,4,369447,0.02639348804950714
126747,5,316753,0.024686791002750397
126747,6,48030,0.02167028747498989
126747,7,170811,0.020237714052200317
126747,8,231482,0.01862812042236328
126747,9,42002,0.018488597124814987
126747,10,84160,0.016908898949623108
127473,1,298009,1.5084034021839443e-9
127473,2,7943,1.4437795403665632e-9
127473,3,384302,1.3718555180730618e-9
127473,4,219512,1.241581726318941e-9
127473,5,416017,9.668610356783347e-10
127473,6,379520,7.121726541825524e-10
127473,7,65273,6.931530904807914e-10
127473,8,138427,6.55664966764391e-10
127473,9,340960,6.527356988250688e-10
127473,10,306289,6.377777750365965e-10
498968,1,5411,1.216347023103026e-9
498968,2,546,7.711555838341155e-10
498968,3,248455,7.40217886985306e-10
498968,4,111530,5.575778727617831e-10
498968,5,420960,5.278842363232172e-10
498968,6,369447,5.142446468653361e-10
498968,7,268883,4.870782110977245e-10
498968,8,187946,4.417503030040848e-10
498968,9,417927,3.8701680749042566e-10
498968,10,367664,3.8594505369360377e-10
722313,1,441852,0.0019782136660069227
722313,2,384302,0.001425530994310975
722313,3,345279,0.001285236794501543
722313,4,223355,0.0011184040922671556
722313,5,69533,0.0010996719356626272
722313,6,48030,0.001094972132705152
722313,7,183178,0.0010678020771592855
722313,8,161623,0.0009076024871319532
722313,9,37029,0.0008920012041926384
722313,10,133907,0.0008763457299210131
921110,1,334401,0.0011247892398387194
921110,2,309778,0.0009926679776981473
921110,3,320130,0.0009469629731029272
921110,4,206218,0.0009460002183914185
921110,5,298009,0.0009333441848866642
921110,6,12217,0.0008918932289816439
921110,7,441852,0.0008219506707973778
921110,8,7943,0.0007462416542693973
921110,9,281480,0.0007386247743852437
921110,10,281717,0.0007060162024572492
329276,1,138427,0.006455723196268082
329276,2,37029,0.005162301938980818
329276,3,227311,0.004862545058131218
329276,4,12217,0.0047700186260044575
329276,5,21013,0.004660315811634064
329276,6,153778,0.004616459831595421
329276,7,133907,0.004491095896810293
329276,8,100282,0.004396314732730389
329276,9,91755,0.0041816942393779755
329276,10,298009,0.003963679540902376
848505,1,398579,0.003934090491384268
848505,2,400946,0.003237498691305518
848505,3,33947,0.002846841234713793
848505,4,46156,0.002624831162393093
848505,5,65268,0.002512908773496747
848505,6,104342,0.002457284601405263
848505,7,427103,0.002354977186769247
848505,8,17478,0.0023074746131896973
848505,9,180018,0.0022134261671453714
848505,10,299044,0.002184278331696987
795769,1,257040,0.06865813583135605
795769,2,367664,0.047754496335983276
795769,3,399031,0.037592895328998566
795769,4,374092,0.03685929998755455
795769,5,243980,0.036822859197854996
795769,6,382751,0.035659581422805786
795769,7,424515,0.03522829711437225
795769,8,257575,0.033835798501968384
795769,9,292444,0.032858796417713165
795769,10,212216,0.032781027257442474
1291625,1,445351,3.4011716820714355e-7
1291625,2,213834,3.0057620392653916e-7
1291625,3,37029,2.95340413458689e-7
1291625,4,23762,2.515338337616413e-7
1291625,5,33912,2.3037651430968253e-7
1291625,6,316753,2.236945135791757e-7
1291625,7,122604,2.0300734604461468e-7
1291625,8,222888,1.9199435996597458e-7
1291625,9,421606,1.8809379298545537e-7
1291625,10,253615,1.750458693550172e-7
782069,1,546,2.94127611155659e-10
782069,2,5411,2.9045491012347213e-10
782069,3,369447,2.7540481006838036e-10
782069,4,248455,2.5923579949349573e-10
782069,5,187946,2.4184731994836284e-10
782069,6,420960,1.9671267392773473e-10
782069,7,222888,1.9197546330396165e-10
782069,8,461686,1.6296450300323784e-10
782069,9,268883,1.4668614933821544e-10
782069,10,179601,1.4539175419159278e-10
1107585,1,345382,0.0017066070577129722
1107585,2,33907,0.0016761869192123413
1107585,3,217605,0.0016015925211831927
1107585,4,170390,0.0014634070685133338
1107585,5,441668,0.0014159783022478223
1107585,6,374996,0.0013501654611900449
1107585,7,222888,0.001326318713836372
1107585,8,414460,0.0013075206661596894
1107585,9,227211,0.0012841910356655717
1107585,10,372941,0.0012646783143281937
1089251,1,7943,0.00001277844603464473
1089251,2,219512,7.05185493643512e-6
1089251,3,450082,6.8925583036616445e-6
1089251,4,320130,6.630663847317919e-6
1089251,5,314789,6.349179329845356e-6
1089251,6,461686,6.235032742551994e-6
1089251,7,85579,6.0069223764003254e-6
1089251,8,416017,6.006789135426516e-6
1089251,9,208939,5.885150130779948e-6
1089251,10,207825,5.7215329434257e-6
545365,1,546,0.0517851859331131
545365,2,441852,0.05147821083664894
545365,3,248455,0.04714615270495415
545365,4,368403,0.04617961496114731
545365,5,369447,0.043618250638246536
545365,6,337327,0.03949771076440811
545365,7,441668,0.037418995052576065
545365,8,215363,0.03739035129547119
545365,9,350384,0.033222172409296036
545365,10,119736,0.03212658315896988
1098352,1,241555,0.00030773167964071035
1098352,2,9877,0.00029178825207054615
1098352,3,325310,0.00026330247055739164
1098352,4,38965,0.0002597852726466954
1098352,5,412622,0.0002070761693175882
1098352,6,37115,0.0002063897845800966
1098352,7,283115,0.00019588226859923452
1098352,8,351481,0.0001786696957424283
1098352,9,252319,0.0001735395344439894
1098352,10,265571,0.00017030665185302496
985932,1,869,0.09075899422168732
985932,2,303828,0.08680742979049683
985932,3,303715,0.08105456084012985
985932,4,254418,0.079647958278656
985932,5,58638,0.06952857226133347
985932,6,308438,0.06875985115766525
985932,7,118551,0.05952988937497139
985932,8,276494,0.058501821011304855
985932,9,89044,0.05524704232811928
985932,10,438322,0.046920351684093475
1103368,1,12217,0.009267477318644524
1103368,2,322717,0.006668069399893284
1103368,3,298009,0.006657589226961136
1103368,4,281480,0.006429752334952354
1103368,5,334401,0.00642791111022234
